GEO_ID,NAME,B19013_001E,B19013_001M
42101021500,"Census Tract 215, Philadelphia County, Pennsylvania",70094,8394
42101021600,"Census Tract 216, Philadelphia County, Pennsylvania",77214,10202
42101021700,"Census Tract 217, Philadelphia County, Pennsylvania",88304,15772
42101021800,"Census Tract 218, Philadelphia County, Pennsylvania",56206,9455
42101021900,"Census Tract 219, Philadelphia County, Pennsylvania",63214,11707
42101022000,"Census Tract 220, Philadelphia County, Pennsylvania",107500,31885
42101023100,"Census Tract 231, Philadelphia County, Pennsylvania",125455,22285
42101023500,"Census Tract 235, Philadelphia County, Pennsylvania",68438,53884
42101023600,"Census Tract 236, Philadelphia County, Pennsylvania",88472,14056
42101023700,"Census Tract 237, Philadelphia County, Pennsylvania",61695,28556
42101023800,"Census Tract 238, Philadelphia County, Pennsylvania",78421,20215
42101023900,"Census Tract 239, Philadelphia County, Pennsylvania",26213,17586
42101024000,"Census Tract 240, Philadelphia County, Pennsylvania",47852,9223
42101024100,"Census Tract 241, Philadelphia County, Pennsylvania",12863,2438
42101024200,"Census Tract 242, Philadelphia County, Pennsylvania",25833,8043
42101024300,"Census Tract 243, Philadelphia County, Pennsylvania",36364,12713
42101024400,"Census Tract 244, Philadelphia County, Pennsylvania",30250,9830
42101024500,"Census Tract 245, Philadelphia County, Pennsylvania",16478,4578
42101024600,"Census Tract 246, Philadelphia County, Pennsylvania",14394,5978
42101024700,"Census Tract 247, Philadelphia County, Pennsylvania",30755,8115
42101024800,"Census Tract 248, Philadelphia County, Pennsylvania",47056,12624
42101024900,"Census Tract 249, Philadelphia County, Pennsylvania",22971,4750
42101025200,"Census Tract 252, Philadelphia County, Pennsylvania",40061,7532
42101025300,"Census Tract 253, Philadelphia County, Pennsylvania",41545,3413
42101025400,"Census Tract 254, Philadelphia County, Pennsylvania",56042,6255
42101025500,"Census Tract 255, Philadelphia County, Pennsylvania",66190,20665
42101025600,"Census Tract 256, Philadelphia County, Pennsylvania",84659,17276
42101025700,"Census Tract 257, Philadelphia County, Pennsylvania",66676,6315
42101025800,"Census Tract 258, Philadelphia County, Pennsylvania",57545,8449
42101025900,"Census Tract 259, Philadelphia County, Pennsylvania",46548,8716
42101026000,"Census Tract 260, Philadelphia County, Pennsylvania",52706,6916
42101026100,"Census Tract 261, Philadelphia County, Pennsylvania",35708,9135
42101026200,"Census Tract 262, Philadelphia County, Pennsylvania",49918,16138
42101026301,"Census Tract 263.01, Philadelphia County, Pennsylvania",38510,9305
42101026302,"Census Tract 263.02, Philadelphia County, Pennsylvania",46166,4045
42101026400,"Census Tract 264, Philadelphia County, Pennsylvania",52895,15829
42101026500,"Census Tract 265, Philadelphia County, Pennsylvania",47708,6547
42101026600,"Census Tract 266, Philadelphia County, Pennsylvania",46859,6106
42101026700,"Census Tract 267, Philadelphia County, Pennsylvania",37871,10075
42101026800,"Census Tract 268, Philadelphia County, Pennsylvania",39057,4820
42101026900,"Census Tract 269, Philadelphia County, Pennsylvania",59844,11314
42101027000,"Census Tract 270, Philadelphia County, Pennsylvania",58875,13326
42101027100,"Census Tract 271, Philadelphia County, Pennsylvania",51500,9379
42101027200,"Census Tract 272, Philadelphia County, Pennsylvania",48250,13069
42101027300,"Census Tract 273, Philadelphia County, Pennsylvania",47551,16726
42101027401,"Census Tract 274.01, Philadelphia County, Pennsylvania",40738,3200
42101027402,"Census Tract 274.02, Philadelphia County, Pennsylvania",37960,7546
42101027500,"Census Tract 275, Philadelphia County, Pennsylvania",45714,12062
42101027600,"Census Tract 276, Philadelphia County, Pennsylvania",38337,8048
42101027700,"Census Tract 277, Philadelphia County, Pennsylvania",29650,6396
42101027800,"Census Tract 278, Philadelphia County, Pennsylvania",31273,8095
42101027901,"Census Tract 279.01, Philadelphia County, Pennsylvania",43182,18769
42101027902,"Census Tract 279.02, Philadelphia County, Pennsylvania",29783,7131
42101028000,"Census Tract 280, Philadelphia County, Pennsylvania",32328,14962
42101028100,"Census Tract 281, Philadelphia County, Pennsylvania",35591,10534
42101028200,"Census Tract 282, Philadelphia County, Pennsylvania",32284,10546
42101028300,"Census Tract 283, Philadelphia County, Pennsylvania",29509,10675
42101028400,"Census Tract 284, Philadelphia County, Pennsylvania",29950,15221
42101028500,"Census Tract 285, Philadelphia County, Pennsylvania",26810,8592
42101028600,"Census Tract 286, Philadelphia County, Pennsylvania",28981,10275
42101028700,"Census Tract 287, Philadelphia County, Pennsylvania",27097,9156
42101028800,"Census Tract 288, Philadelphia County, Pennsylvania",26408,4118
42101028901,"Census Tract 289.01, Philadelphia County, Pennsylvania",37522,13174
42101028902,"Census Tract 289.02, Philadelphia County, Pennsylvania",30066,5720
42101029000,"Census Tract 290, Philadelphia County, Pennsylvania",37977,7098
42101029100,"Census Tract 291, Philadelphia County, Pennsylvania",28571,6545
42101029200,"Census Tract 292, Philadelphia County, Pennsylvania",51359,18543
42101029300,"Census Tract 293, Philadelphia County, Pennsylvania",25982,14625
42101029400,"Census Tract 294, Philadelphia County, Pennsylvania",23107,8130
42101029800,"Census Tract 298, Philadelphia County, Pennsylvania",29805,4348
42101029900,"Census Tract 299, Philadelphia County, Pennsylvania",24111,3709
42101030000,"Census Tract 300, Philadelphia County, Pennsylvania",29669,7945
42101030100,"Census Tract 301, Philadelphia County, Pennsylvania",26610,10642
42101030200,"Census Tract 302, Philadelphia County, Pennsylvania",63518,9829
42101030501,"Census Tract 305.01, Philadelphia County, Pennsylvania",37045,7960
42101030502,"Census Tract 305.02, Philadelphia County, Pennsylvania",49115,5333
42101030600,"Census Tract 306, Philadelphia County, Pennsylvania",51705,8825
42101030700,"Census Tract 307, Philadelphia County, Pennsylvania",49906,11268
42101030800,"Census Tract 308, Philadelphia County, Pennsylvania",55313,6999
42101030900,"Census Tract 309, Philadelphia County, Pennsylvania",50694,12417
42101031000,"Census Tract 310, Philadelphia County, Pennsylvania",41540,5922
42101031101,"Census Tract 311.01, Philadelphia County, Pennsylvania",38292,9285
42101031102,"Census Tract 311.02, Philadelphia County, Pennsylvania",39201,8378
42101031200,"Census Tract 312, Philadelphia County, Pennsylvania",42404,10818
42101031300,"Census Tract 313, Philadelphia County, Pennsylvania",40317,7768
42101031401,"Census Tract 314.01, Philadelphia County, Pennsylvania",41724,13195
42101031402,"Census Tract 314.02, Philadelphia County, Pennsylvania",37341,7113
42101031501,"Census Tract 315.01, Philadelphia County, Pennsylvania",48775,6425
42101031502,"Census Tract 315.02, Philadelphia County, Pennsylvania",45069,11853
42101031600,"Census Tract 316, Philadelphia County, Pennsylvania",54198,13686
42101031700,"Census Tract 317, Philadelphia County, Pennsylvania",43750,15811
42101031800,"Census Tract 318, Philadelphia County, Pennsylvania",43576,10200
42101031900,"Census Tract 319, Philadelphia County, Pennsylvania",43925,4916
42101032000,"Census Tract 320, Philadelphia County, Pennsylvania",50031,3301
42101032100,"Census Tract 321, Philadelphia County, Pennsylvania",40175,3992
42101032300,"Census Tract 323, Philadelphia County, Pennsylvania",38906,12393
42101032500,"Census Tract 325, Philadelphia County, Pennsylvania",51450,9433
42101032600,"Census Tract 326, Philadelphia County, Pennsylvania",44718,10776
42101032900,"Census Tract 329, Philadelphia County, Pennsylvania",32568,12431
42101033000,"Census Tract 330, Philadelphia County, Pennsylvania",44233,15469
42101033101,"Census Tract 331.01, Philadelphia County, Pennsylvania",65188,10171
42101033102,"Census Tract 331.02, Philadelphia County, Pennsylvania",42692,8440
42101033200,"Census Tract 332, Philadelphia County, Pennsylvania",66339,9230
42101033300,"Census Tract 333, Philadelphia County, Pennsylvania",44167,8755
42101033400,"Census Tract 334, Philadelphia County, Pennsylvania",52959,6887
42101033500,"Census Tract 335, Philadelphia County, Pennsylvania",48426,9529
42101033600,"Census Tract 336, Philadelphia County, Pennsylvania",43198,3102
42101033701,"Census Tract 337.01, Philadelphia County, Pennsylvania",41429,8578
42101033702,"Census Tract 337.02, Philadelphia County, Pennsylvania",59680,10219
42101033800,"Census Tract 338, Philadelphia County, Pennsylvania",49021,10500
42101033900,"Census Tract 339, Philadelphia County, Pennsylvania",52418,6614
42101034000,"Census Tract 340, Philadelphia County, Pennsylvania",85575,16729
